employeeID,CountryOfBirth,name,phone,email,gender,birthdate,hiredate,department,role,salary,SSID
786579303,USA,Allison Hill,321.581.9600,williamjohnson@example.org,male,1990-02-12,2012-02-22,Sales,Sales Executive,88698,734-84-8929
553035110,USA,Jerry Ramirez,3268542351,howardmaurice@example.com,female,1990-09-21,2019-01-14,Sales,Account Manager,69446,827-06-7528
582334538,USA,Valerie Gray,+1-649-359-3103,michellejames@example.com,male,2005-03-13,2024-12-23,Sales,Account Manager,65189,651-47-2665
331191390,Mexico,Joaquín Enrique Jaramillo Becerra,+1-528-232-7648x350,karla41@example.org,female,1999-11-22,2019-07-03,HR,Recruiter,52847,581-92-5156
883543540,USA,Jonathan Wilkerson,+1-772-542-3884x9696,williamdavis@example.org,female,1981-04-29,2018-05-31,HR,Recruiter,87837,882-15-2505
306468299,India,Pahal Bhatt,(669)878-4801x8451,sudikshaaggarwal@example.net,female,1991-01-09,2012-04-29,HR,Recruiter,68217,897-93-4316
586845604,India,Yashica Cherian,+1-948-293-2528x8095,patildamyanti@example.org,female,1981-12-09,2013-12-10,Engineering,Software Engineer,102431,060-31-9296
673528321,India,Frederick Sunder,882-527-8248,devikarastogi@example.net,female,1981-01-21,2024-11-23,Sales,Sales Executive,94866,667-48-7178
448195935,India,Jai Kota,215.309.8393,karnikekansh@example.org,male,1991-05-21,2023-06-11,Sales,Sales Executive,63826,881-43-1161
709004943,China,陈桂芝,582.399.7376,zhangping@example.com,female,1963-10-01,2016-11-25,Sales,Account Manager,64150,434-53-7652
364814270,India,Guneet Bhat,(551)333-3872x6247,dchaudhari@example.net,male,1967-11-05,2024-10-25,Engineering,Software Engineer,98131,554-02-1529
647099690,USA,Sarah Martin,973.460.2606x4746,kennethnovak@example.net,male,1998-03-18,2023-03-23,HR,Recruiter,89086,754-70-0999
168212356,USA,Amy Silva,582.208.1219x13619,barnesbrandy@example.net,male,1975-09-13,2014-10-11,HR,HR Specialist,52507,324-34-3347
831980933,China,刘桂珍,(347)351-0799,weilei@example.org,male,1963-12-21,2011-05-31,Sales,Account Manager,55212,358-09-4003
875340444,China,陈丽丽,+1-649-380-8412,xiaojie@example.com,female,1973-03-11,2018-02-24,HR,Recruiter,83270,289-78-3451
753876785,USA,Christina Walters,687-440-1640x052,barnold@example.net,female,1994-09-02,2022-01-01,Sales,Account Manager,56276,010-15-1233
220117054,China,高洁,001-782-562-0450,yongfan@example.com,male,1986-02-05,2010-05-04,HR,HR Specialist,50613,799-72-6659
885879795,USA,Nicole Frost,622.460.2563,reyesbenjamin@example.com,female,1971-04-08,2012-12-03,Sales,Sales Executive,67370,228-26-7542
666585408,China,陈娜,803.765.4145,fanglei@example.org,female,1991-09-03,2023-12-20,Engineering,DevOps Engineer,111148,595-34-0627
821218382,India,Radha Pai,001-556-798-1693x4060,qboase@example.com,female,1971-10-23,2011-05-07,Engineering,DevOps Engineer,86378,639-41-2042
731691672,USA,Elizabeth Parker,(256)648-2366x29946,jason99@example.net,male,2005-04-27,2024-12-28,Sales,Sales Executive,54417,330-60-7239
133729406,India,Tanay Vaidya,221.248.9513x4332,vaishnavibora@example.com,female,1990-01-15,2020-09-05,Engineering,Software Engineer,141953,425-81-9432
360916298,India,Leena Talwar,(332)901-6328x7083,ucchalwali@example.net,male,1993-04-18,2014-12-04,Sales,Account Manager,81941,610-41-7252
601463916,China,雷秀芳,(677)943-4873,liaojun@example.com,female,1963-07-18,2011-02-01,Sales,Account Manager,62161,344-41-8850
366992705,USA,Chris Reyes,(231)566-5876,xprice@example.net,male,1996-10-31,2018-05-23,Sales,Sales Executive,79041,713-03-9433
967607278,China,马琴,866-788-9373x4670,dhan@example.org,male,2001-07-05,2021-02-17,Marketing,Marketing Manager,70899,638-69-0442
536383774,USA,Leslie Alvarado,562-972-0465,matthew64@example.com,female,1980-05-09,2012-07-13,Engineering,DevOps Engineer,102380,259-11-7706
941889393,India,Charles Palla,510.403.3092,kcontractor@example.org,female,1960-09-02,2020-09-06,Engineering,DevOps Engineer,99267,477-90-4199
162795957,USA,Carol Lawson,001-512-341-9049x6631,melissa91@example.net,male,1985-05-09,2010-10-27,Sales,Sales Executive,53727,802-06-5689
645276696,USA,Mary Jones,+1-650-967-1657x2628,ugraham@example.net,female,1967-05-09,2020-04-30,Sales,Sales Executive,87940,275-42-4023
738360085,USA,Angelica Keith,479.996.5075,michaelgreen@example.com,female,1962-08-19,2019-09-25,Engineering,DevOps Engineer,98386,611-90-4527
819112790,India,Zansi Halder,236-378-3777,timothy63@example.com,female,1980-04-02,2020-11-26,Engineering,DevOps Engineer,134274,680-75-6047
177892576,USA,Joseph Coleman,001-485-557-4443x1351,joannahill@example.net,male,1969-04-21,2011-10-03,Engineering,DevOps Engineer,93680,779-68-9778
474745382,China,匡想,435-924-0824x0084,caixiulan@example.com,male,1982-01-14,2012-08-12,HR,Recruiter,84664,481-62-7217
108399996,India,Qarin Behl,671-316-7190x229,jagatsaha@example.net,male,1963-04-21,2024-03-09,Engineering,Software Engineer,100374,611-80-3698
392431670,USA,Jamie Kerr,496-549-9091x3341,andreamoore@example.com,female,1984-02-24,2020-11-20,HR,Recruiter,66457,462-89-9730
154544899,USA,Andrew Roberts,471-334-9361x8324,martinkyle@example.net,female,1988-05-15,2010-06-20,HR,Recruiter,60589,845-73-4729
895890631,USA,John Torres,(248)387-7190x6594,suzannehuff@example.net,male,1970-06-07,2011-02-08,Marketing,Marketing Manager,95755,602-03-4416
138684919,India,Parth Singhal,474.729.6717x56551,standon@example.net,male,1995-10-28,2017-01-22,Engineering,Software Engineer,126898,411-98-9013
325567963,India,Suhani Chakrabarti,945-916-8087x60385,janiamara@example.net,male,1982-08-26,2024-07-27,Marketing,Marketing Manager,75514,135-37-7179
274484941,Philippines,Kari Johnson,+1-393-424-8086x1317,scantu@example.net,male,1979-05-28,2012-06-19,HR,Recruiter,66263,723-35-6808
386480450,USA,Veronica Sanchez,+1-826-739-8214,lori44@example.net,male,1981-05-20,2023-08-29,Engineering,DevOps Engineer,107915,594-85-8023
427696198,India,Sanya Yohannan,855.288.6753x3963,urvashi66@example.net,male,1991-05-25,2021-04-09,Engineering,DevOps Engineer,89549,812-84-2493
930353157,USA,Andrew Shaw MD,371-987-0262,matthew61@example.com,male,1979-06-27,2023-10-02,Engineering,Software Engineer,95118,873-87-8743
380477683,USA,Eugene Higgins,001-478-609-1343x16117,williamslaura@example.com,male,1989-05-18,2011-11-02,Sales,Account Manager,83599,368-48-7057
750911797,Taiwan,楊文正,(422)519-6937,dtseng@example.com,female,1969-03-06,2014-01-23,HR,HR Specialist,79073,683-02-7623
